FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
102281,102285,Gymnogyps californianus,Aves,Accipitriformes,2018,5,27,-119.39907,34.931927,1,HUMAN_OBSERVATION,Mojave
102287,102291,Buteo swainsoni,Aves,Accipitriformes,2017,3,22,-120.3195,36.7159,4,HUMAN_OBSERVATION,Sonoran
102292,102296,Agelaius tricolor,Aves,Passeriformes,2018,3,2,-120.626495,37.17769,2,HUMAN_OBSERVATION,
102298,102302,Agelaius tricolor,Aves,Passeriformes,2010,12,11,-120.786,37.218,10,HUMAN_OBSERVATION,
102301,102305,Buteo swainsoni,Aves,Accipitriformes,2009,7,18,-120.573,36.9528,2,HUMAN_OBSERVATION,San Joaquin
102327,102331,Buteo swainsoni,Aves,Accipitriformes,2015,3,31,-120.81918,37.102,5,HUMAN_OBSERVATION,
102341,102345,Buteo swainsoni,Aves,Accipitriformes,2016,6,6,-119.420616,35.415497,1,HUMAN_OBSERVATION,
102359,102363,Buteo swainsoni,Aves,Accipitriformes,2017,6,2,-120.33825,36.729618,1,HUMAN_OBSERVATION,Mojave
102428,102432,Buteo swainsoni,Aves,Accipitriformes,2009,6,24,-119.60118,36.31471,2,HUMAN_OBSERVATION,
102437,102441,Agelaius tricolor,Aves,Passeriformes,2014,2,20,-120.62203,37.167942,2,HUMAN_OBSERVATION,Mojave
102447,102451,Buteo swainsoni,Aves,Accipitriformes,2013,3,17,-119.47602,36.273643,1,HUMAN_OBSERVATION,Sonoran
102451,102455,Gymnogyps californianus,Aves,Accipitriformes,1985,9,8,-119.36291,34.895306,1,HUMAN_OBSERVATION,
102460,102464,Buteo swainsoni,Aves,Accipitriformes,2016,6,8,-121.060234,37.17249,1,HUMAN_OBSERVATION,
102497,102501,Agelaius tricolor,Aves,Passeriformes,2015,4,9,-121.024,37.08,1,HUMAN_OBSERVATION,
102523,102527,Agelaius tricolor,Aves,Passeriformes,2004,2,19,-119.55411,34.89875,15,HUMAN_OBSERVATION,
102543,102547,Agelaius tricolor,Aves,Passeriformes,1974,2,16,-120.926,37.2194,2,HUMAN_OBSERVATION,
102545,102549,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,20,-121.25415,37.4546,1,HUMAN_OBSERVATION,
102562,102566,Buteo swainsoni,Aves,Accipitriformes,2018,2,28,-119.375854,35.90652,1,HUMAN_OBSERVATION,
102563,102567,Agelaius tricolor,Aves,Passeriformes,2017,4,23,-119.39907,34.931927,140,HUMAN_OBSERVATION,
102564,102568,Buteo swainsoni,Aves,Accipitriformes,2011,4,16,-120.64731,37.181767,1,HUMAN_OBSERVATION,
102586,102590,Gymnogyps californianus,Aves,Accipitriformes,2018,6,3,-119.36593,34.898216,1,HUMAN_OBSERVATION,
102618,102622,Buteo swainsoni,Aves,Accipitriformes,2012,4,3,-119.59827,35.763157,1,HUMAN_OBSERVATION,
102625,102629,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,1,27,-121.28138,37.45279,1,HUMAN_OBSERVATION,
102648,102652,Buteo swainsoni,Aves,Accipitriformes,2020,4,10,-120.62587,37.183105,1,HUMAN_OBSERVATION,
102657,102661,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,11,17,-120.626495,37.17769,1,HUMAN_OBSERVATION,
102662,102666,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,2,6,-120.379776,35.84502,4,HUMAN_OBSERVATION,
102665,102669,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,2,26,-120.8,37.2,1,HUMAN_OBSERVATION,San Joaquin
102678,102682,Agelaius tricolor,Aves,Passeriformes,2011,2,5,-119.57342,35.862255,10,HUMAN_OBSERVATION,
102688,102692,Buteo swainsoni,Aves,Accipitriformes,2018,7,20,-119.891655,36.70476,9,HUMAN_OBSERVATION,
102690,102694,Gymnogyps californianus,Aves,Accipitriformes,2017,1,21,-119.36593,34.898216,1,HUMAN_OBSERVATION,
102694,102698,Agelaius tricolor,Aves,Passeriformes,1988,5,5,-118.89642,34.99247,120,HUMAN_OBSERVATION,
102707,102711,Buteo swainsoni,Aves,Accipitriformes,2020,5,16,-120.626495,37.17769,4,HUMAN_OBSERVATION,
102722,102726,Buteo swainsoni,Aves,Accipitriformes,2012,8,5,-119.554596,36.145775,1,HUMAN_OBSERVATION,
102726,102730,Agelaius tricolor,Aves,Passeriformes,2012,2,25,-120.53586,37.185715,0,HUMAN_OBSERVATION,
102730,102734,Buteo swainsoni,Aves,Accipitriformes,2019,7,3,-119.461815,36.257908,2,HUMAN_OBSERVATION,
102806,102810,Agelaius tricolor,Aves,Passeriformes,2013,5,6,-119.48181,35.757656,1500,HUMAN_OBSERVATION,
102824,102828,Buteo swainsoni,Aves,Accipitriformes,2009,5,2,-119.57451,36.45156,1,HUMAN_OBSERVATION,
102825,102829,Buteo swainsoni,Aves,Accipitriformes,2012,4,8,-121.024,37.08,1,HUMAN_OBSERVATION,Sonoran
102835,102839,Agelaius tricolor,Aves,Passeriformes,2020,2,22,-120.94269,37.184036,15,HUMAN_OBSERVATION,
102873,102877,Buteo swainsoni,Aves,Accipitriformes,2010,11,26,-119.77998,36.18943,1,HUMAN_OBSERVATION,
102879,102883,Buteo swainsoni,Aves,Accipitriformes,2018,5,13,-120.371025,36.78772,1,HUMAN_OBSERVATION,
102895,102899,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,1,10,-119.81054,35.155758,1,HUMAN_OBSERVATION,
102916,102920,Buteo swainsoni,Aves,Accipitriformes,2013,5,20,-120.7693,37.17828,4,HUMAN_OBSERVATION,
102925,102929,Buteo swainsoni,Aves,Accipitriformes,2015,7,19,-119.8543,36.25546,1,HUMAN_OBSERVATION,
102947,102951,Buteo swainsoni,Aves,Accipitriformes,2018,4,25,-119.39059,35.865208,2,HUMAN_OBSERVATION,
102956,102960,Agelaius tricolor,Aves,Passeriformes,2017,11,4,-120.62203,37.167942,100,HUMAN_OBSERVATION,
102963,102967,Agelaius tricolor,Aves,Passeriformes,2017,4,1,-119.59725,35.7487,38,HUMAN_OBSERVATION,
102970,102974,Buteo swainsoni,Aves,Accipitriformes,2014,7,22,-120.309135,36.916893,2,HUMAN_OBSERVATION,
102986,102990,Riparia riparia,Aves,Passeriformes,2015,5,1,-119.12849,35.350513,2,HUMAN_OBSERVATION,
