"","obsYear","treatmentGroup","desert","totalObs","ndvi","area_km2","st_totalObs"
"58",2011,"never burned","San Joaquin",470,0.397013240902765,26537.1354658036,17.7110299114859
"59",2011,"never burned","Sonoran",307,0.146383721496363,27788.5110422463,11.0477311840593
"60",2012,"burned","Mojave",14,0.223241474078764,721.501198281647,19.403987177489
"61",2012,"burned","San Joaquin",7,0.282255274947324,399.409033350877,17.5258930457153
"62",2012,"burned","Sonoran",2,0.224879692193785,218.863206049972,9.13812803940809
"63",2012,"never burned","Mojave",444,0.114092706802226,73161.4248180358,6.06877191230624
"64",2012,"never burned","San Joaquin",513,0.339940646792067,26537.1354658036,19.331400733175
"65",2012,"never burned","Sonoran",409,0.140788474118889,27788.5110422463,14.7183128803917
"66",2013,"burned","Mojave",9,0.199836310754125,721.501198281647,12.4739917569572
"67",2013,"burned","San Joaquin",3,0.307623244351528,399.409033350877,7.51109701959226
"68",2013,"burned","Sonoran",1,0.20685991339997,218.863206049972,4.56906401970405
"69",2013,"never burned","Mojave",424,0.109453911220918,73161.4248180358,5.7954038081483
"70",2013,"never burned","San Joaquin",551,0.343299970635061,26537.1354658036,20.7633563430398
"71",2013,"never burned","Sonoran",504,0.142394357041151,27788.5110422463,18.1369919112895
"72",2014,"burned","Mojave",12,0.209302733128499,721.501198281647,16.6319890092762
"73",2014,"burned","San Joaquin",9,0.259151711582135,399.409033350877,22.5332910587768
"74",2014,"burned","Sonoran",3,0.196356499317098,218.863206049972,13.7071920591121
"75",2014,"never burned","Mojave",455,0.114814626922536,73161.4248180358,6.2191243695931
"76",2014,"never burned","San Joaquin",526,0.313948252172237,26537.1354658036,19.8212802839182
"77",2014,"never burned","Sonoran",469,0.136790804241119,27788.5110422463,16.8774785841166
"78",2015,"burned","Mojave",7,0.227981711330156,721.501198281647,9.70199358874448
"79",2015,"burned","San Joaquin",23,0.340942444981008,399.409033350877,57.5850771502073
"80",2015,"burned","Sonoran",2,0.216919844687673,218.863206049972,9.13812803940809
"81",2015,"never burned","Mojave",673,0.120059974671781,73161.4248180358,9.19883670491464
"82",2015,"never burned","San Joaquin",764,0.357176232513841,26537.1354658036,28.7898443667557
"83",2015,"never burned","Sonoran",501,0.133058923064808,27788.5110422463,18.0290336261032
"84",2016,"burned","Mojave",10,0.220164241418588,721.501198281647,13.8599908410635
"85",2016,"burned","San Joaquin",17,0.369633080870314,399.409033350877,42.5628831110228
"86",2016,"burned","Sonoran",4,0.212078323563603,218.863206049972,18.2762560788162
"87",2016,"never burned","Mojave",805,0.115620539638795,73161.4248180358,11.003066192357
"88",2016,"never burned","San Joaquin",757,0.365054884907735,26537.1354658036,28.5260630702017
"89",2016,"never burned","Sonoran",515,0.12962682911905,27788.5110422463,18.5328389569724
"90",2017,"burned","Mojave",12,0.220650625184818,721.501198281647,16.6319890092762
"91",2017,"burned","San Joaquin",10,0.362337880002508,399.409033350877,25.0369900653075
"92",2017,"burned","Sonoran",14,0.2503697901612,218.863206049972,63.9668962758566
"93",2017,"never burned","Mojave",820,0.128634729473932,73161.4248180358,11.2080922704755
"94",2017,"never burned","San Joaquin",922,0.388954756865893,26537.1354658036,34.7437650604042
"95",2017,"never burned","Sonoran",535,0.146697379228804,27788.5110422463,19.252560858214
"96",2018,"burned","Mojave",10,0.217624947618298,721.501198281647,13.8599908410635
"97",2018,"burned","San Joaquin",11,0.314916073111027,399.409033350877,27.5406890718383
"98",2018,"burned","Sonoran",13,0.21360618657857,218.863206049972,59.3978322561526
"99",2018,"never burned","Mojave",729,0.113126583917222,73161.4248180358,9.96426739655686
"100",2018,"never burned","San Joaquin",831,0.350097929711001,26537.1354658036,31.3146082052016
"101",2018,"never burned","Sonoran",647,0.13165748785104,27788.5110422463,23.2830035051673
"102",2019,"burned","Mojave",23,0.242678323363064,721.501198281647,31.8779789344461
"103",2019,"burned","San Joaquin",17,0.370423991410968,399.409033350877,42.5628831110228
"104",2019,"burned","Sonoran",8,0.259934275685284,218.863206049972,36.5525121576324
"105",2019,"never burned","Mojave",703,0.13708269706526,73161.4248180358,9.60888886115154
"106",2019,"never burned","San Joaquin",1024,0.393655492189549,26537.1354658036,38.5874353816202
"107",2019,"never burned","Sonoran",762,0.154125778610643,27788.5110422463,27.4214044373067
"108",2020,"burned","Mojave",9,0.239710556164375,721.501198281647,12.4739917569572
"109",2020,"burned","San Joaquin",6,0.339120194595438,399.409033350877,15.0221940391845
"110",2020,"burned","Sonoran",8,0.250306350238506,218.863206049972,36.5525121576324
"111",2020,"never burned","Mojave",714,0.141941168744374,73161.4248180358,9.75924131843841
"112",2020,"never burned","San Joaquin",1025,0.373018555552618,26537.1354658036,38.6251184239851
"113",2020,"never burned","Sonoran",722,0.153296953699927,27788.5110422463,25.9819606348234
