fireID,firename,fireyear,firesize,buffSize_km,buffArea_acres,n_observations,firemonth
1111,MINERAL,2020,29666.8421487,5,36157,2,7
1112,DEL PUERTO,2020,390647.255599,5,68965,128,10
261,SAWTOOTH COMPLEX,2006,61767.18,5,33737,17,7
263,PINES,2002,61691.24,5,45164,80,8
264,PALM#1,2002,94.97114,5,1806,18,NA
271,PARADISE,2005,3081.726,5,11261,11,6
283,DOS PALMAS,2008,456.4143,5,16175,15,4
291,TECOPA,2010,105.7345,5,11370,76,8
311,RANGE,2011,241.0146,5,11555,8,NA
314,EAGLE,2011,13992.99,5,16210,195,7
329,BANNER FIRE,2012,5320.116,5,8800,5,5
331,MOUNTAIN,2013,27523.67,5,19020,41,7
332,RIVER,2013,406.8415,5,14127,82,2
351,MOFFAT,2018,1253.925,5,19549,4,5
356,HAUGHTELIN,2010,2319.5,5,18081,1004,5
358,TOPOCK,2016,2228.4,5,16707,186,4
359,SENATOR,2012,47.72357,5,13635,92,NA
360,ALAMO,2016,136.4,5,14318,52,8
368,DRAPER,2017,754.3,5,18386,13,10
392,TECOPA,2017,26.99327,5,9655,2,9
400,VIEW,2012,376.1476,5,9889,68,6
409,PILOT,2016,8110.823,5,10180,2,8
410,WINDY POINT,2011,541.494,5,7519,25,9
414,BLUE CUT,2016,36266.55,5,28196,11,8
417,STEWART,2012,10630.18,5,7796,11,8
418,POWERHOUSE,2013,30267.57,5,22018,38,6
505,BLAISDELL,2005,5491.788,5,8347,9,8
506,COYOTE,2003,18704.78,5,17478,11,7
508,BLUE CUT,2002,6821.039,5,6596,5,6
512,OLD,2003,91428,5,12859,5,11
518,LOUISIANA,2002,6564.211,5,6560,5,6
531,TRAM,2013,59.22004,5,6467,10,8
565,HACKBERRY COMPLEX 1,2005,63771.3,5,54933,12,6
678,SODA,2005,449.4977,5,9266,9,6
721,DOS AMIGOS,2005,746.0347,5,17217,5,6
727,SAN LUIS,2005,332.2597,5,4436,222,NA
73,LOS FLORES,2007,4099.966,5,9675,1,4
76,ELM,2005,271.6541,5,8834,3,6
78,INDIAN 2,2005,188.7452,5,8965,25,9
82,VERBENIA,2004,3831.371,5,8127,2,7
856,HWY166,2004,65.16033,5,10399,95,NA
873,ROMERO,2000,1706.85,5,7717,70,8
911,NEW IDRIA,2003,632.0136,5,15789,18,5
926,BECK,2000,396.3609,5,11668,48,NA
929,BASALT,2004,410.184,5,11639,208,5
935,BROWN,2008,3786.915,5,20951,255,6
938,ROMERO,2008,766.0438,5,5692,226,7
939,COTTONWOOD2,2008,796.5697,5,6841,44,7
941,AVENAL,2008,945.3325,5,8650,1,8
946,PARKWAY,2009,689.9021,5,15118,11,6
968,REED,2011,5899.568,5,21624,2,9
971,ROMERO,2011,451.0401,5,4760,221,7
974,SODA,2011,1533.496,5,16752,24,9
975,TURKEY,2012,2530.048,5,15112,15,7
997,MCCABE,2015,1728.974,5,10588,8,7
