obsID,obsYear,month,day,species,class,order,indvdlC,fireID
255234,2019,9,7,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
256424,2015,12,27,Agelaius tricolor,Aves,Passeriformes,2,856
257396,2015,6,7,Empidonax traillii,Aves,Passeriformes,2,565
257462,2016,1,29,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
257791,2007,5,26,Empidonax traillii,Aves,Passeriformes,2,565
257936,2019,6,25,Colaptes chrysoides,Aves,Piciformes,2,1109
259069,2012,4,7,Colaptes chrysoides,Aves,Piciformes,2,1109
259894,1999,3,27,Agelaius tricolor,Aves,Passeriformes,1,941
260060,2019,6,30,Colaptes chrysoides,Aves,Piciformes,2,1109
260918,2014,6,9,Colaptes chrysoides,Aves,Piciformes,1,1109
261054,1997,4,13,Colaptes chrysoides,Aves,Piciformes,1,565
262030,2019,6,7,Colaptes chrysoides,Aves,Piciformes,2,1109
262150,2019,6,13,Agelaius tricolor,Aves,Passeriformes,1,873
263266,2018,10,13,Puma concolor,Mammalia,Carnivora,1,417
263423,2018,5,19,Empidonax traillii,Aves,Passeriformes,1,565
264322,2017,4,8,Ammospermophilus nelsoni,Mammalia,Rodentia,1,1086
264965,2019,9,20,Colaptes chrysoides,Aves,Piciformes,1,1109
265718,2020,10,17,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
269833,2018,10,13,Puma concolor,Mammalia,Carnivora,1,417
269879,2010,4,17,Gopherus agassizii,Reptilia,Testudines,1,565
270366,2017,3,30,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,314
270559,2016,3,23,Buteo swainsoni,Aves,Accipitriformes,1,271
270799,2020,9,5,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,314
271251,2018,5,26,Colaptes chrysoides,Aves,Piciformes,1,1109
271424,2019,5,12,Puma concolor,Mammalia,Carnivora,1,417
271867,2017,1,29,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,264
271867,2017,1,29,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,1,314
272325,2021,5,26,Ovis canadensis nelsoni,Mammalia,Artiodactyla,1,263
272904,2019,10,13,Danaus plexippus,Insecta,Lepidoptera,1,565
273163,2016,4,29,Colaptes chrysoides,Aves,Piciformes,2,1109
273395,2021,4,29,Colaptes chrysoides,Aves,Piciformes,1,1109
273526,2021,4,3,Agelaius tricolor,Aves,Passeriformes,1,1112
278533,2016,5,28,Empidonax traillii,Aves,Passeriformes,1,1112
280223,2018,7,2,Danaus plexippus,Insecta,Lepidoptera,1,271
