obsID,obsYear,month,day,species,class,order,indvdlC,fireID
138838,2020,3,18,Haliaeetus leucocephalus,Aves,Accipitriformes,1,358
139411,2012,9,22,Colaptes chrysoides,Aves,Piciformes,1,1109
139662,2008,6,5,Empidonax traillii,Aves,Passeriformes,2,291
139932,2016,4,15,Buteo swainsoni,Aves,Accipitriformes,4,414
139932,2016,4,15,Buteo swainsoni,Aves,Accipitriformes,4,518
140135,2017,5,27,Empidonax traillii,Aves,Passeriformes,4,296
141042,1989,4,23,Agelaius tricolor,Aves,Passeriformes,1,1110
142520,2019,6,7,Colaptes chrysoides,Aves,Piciformes,2,1109
142611,2009,4,4,Agelaius tricolor,Aves,Passeriformes,10,941
143213,2017,3,17,Colaptes chrysoides,Aves,Piciformes,1,1109
143577,2013,5,26,Empidonax traillii,Aves,Passeriformes,1,1110
143608,2010,6,11,Empidonax traillii,Aves,Passeriformes,2,271
144560,2012,1,20,Agelaius tricolor,Aves,Passeriformes,1,926
144632,2017,6,5,Empidonax traillii,Aves,Passeriformes,1,291
144745,2016,5,15,Agelaius tricolor,Aves,Passeriformes,4,1112
146078,2010,5,22,Buteo swainsoni,Aves,Accipitriformes,1,1109
146714,1991,4,13,Colaptes chrysoides,Aves,Piciformes,2,565
146736,2003,3,2,Agelaius tricolor,Aves,Passeriformes,350,926
147078,2012,5,14,Agelaius tricolor,Aves,Passeriformes,247,418
147415,2020,6,13,Colaptes chrysoides,Aves,Piciformes,1,565
148402,2015,12,2,Haliaeetus leucocephalus,Aves,Accipitriformes,2,873
148555,2017,5,3,Buteo swainsoni,Aves,Accipitriformes,6,873
149077,2019,5,26,Colaptes chrysoides,Aves,Piciformes,3,1109
149870,2003,5,30,Empidonax traillii,Aves,Passeriformes,1,1110
150026,2011,3,5,Agelaius tricolor,Aves,Passeriformes,1,873
150244,2011,4,17,Agelaius tricolor,Aves,Passeriformes,150,418
150770,1976,9,1,Empidonax traillii,Aves,Passeriformes,1,565
152609,2011,6,6,Colaptes chrysoides,Aves,Piciformes,1,1109
154796,1974,9,19,Empidonax traillii,Aves,Passeriformes,1,271
155538,2016,5,8,Colaptes chrysoides,Aves,Piciformes,1,1109
156620,2017,5,6,Buteo swainsoni,Aves,Accipitriformes,1,873
156635,2019,5,18,Colaptes chrysoides,Aves,Piciformes,1,1109
157442,2014,3,24,Colaptes chrysoides,Aves,Piciformes,1,1109
157602,2016,4,29,Colaptes chrysoides,Aves,Piciformes,1,1109
157657,2008,5,26,Empidonax traillii,Aves,Passeriformes,1,291
158776,2020,6,13,Colaptes chrysoides,Aves,Piciformes,2,1109
158779,2014,4,5,Buteo swainsoni,Aves,Accipitriformes,1,565
159544,2018,1,11,Agelaius tricolor,Aves,Passeriformes,1,975
160355,2016,5,15,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1112
160440,2010,4,11,Colaptes chrysoides,Aves,Piciformes,1,1109
160679,2018,1,5,Haliaeetus leucocephalus,Aves,Accipitriformes,1,975
161555,2005,7,30,Gymnogyps californianus,Aves,Accipitriformes,1,678
161555,2005,7,30,Gymnogyps californianus,Aves,Accipitriformes,1,1021
161583,2013,8,31,Colaptes chrysoides,Aves,Piciformes,1,1109
162904,2016,9,4,Empidonax traillii,Aves,Passeriformes,1,873
163504,2015,4,24,Buteo swainsoni,Aves,Accipitriformes,1,929
163832,2019,5,26,Colaptes chrysoides,Aves,Piciformes,3,1109
164008,2017,4,1,Colaptes chrysoides,Aves,Piciformes,2,1109
164323,1980,6,1,Empidonax traillii,Aves,Passeriformes,1,271
164412,2017,11,13,Colaptes chrysoides,Aves,Piciformes,1,1109
164811,2015,4,18,Buteo swainsoni,Aves,Accipitriformes,1,941
165256,2016,3,20,Colaptes chrysoides,Aves,Piciformes,1,1109
166131,2015,9,5,Empidonax traillii,Aves,Passeriformes,1,873
166260,2010,12,6,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
166453,1974,9,19,Empidonax traillii,Aves,Passeriformes,1,271
166480,1978,5,6,Buteo swainsoni,Aves,Accipitriformes,1,271
166480,1978,5,6,Buteo swainsoni,Aves,Accipitriformes,1,383
166926,2017,4,1,Colaptes chrysoides,Aves,Piciformes,2,1109
168223,2009,6,28,Colaptes chrysoides,Aves,Piciformes,2,1109
169072,1989,4,21,Agelaius tricolor,Aves,Passeriformes,1,974
169580,2008,6,14,Empidonax traillii,Aves,Passeriformes,1,291
170551,2015,11,11,Colaptes chrysoides,Aves,Piciformes,1,1109
170871,2020,12,1,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
170884,2019,11,2,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
171493,2016,1,29,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
172085,2012,4,8,Colaptes chrysoides,Aves,Piciformes,3,1109
