"Dudleya abramsii ssp.
setchellii",Santa Clara Valley dudleya,,,FE,19950203,"Scientific name at time of listing:
Dudleya setchellii"
Dudleya brevifolia,short-leaved dudleya,SE,19820117,,,
"Dudleya cymosa ssp.
agourensis",Agoura Hills dudleya,,,FT,19970129,"USFWS listed the more encompassing Dudleya cymosa ssp. ovatifolia from which ssp.
agourensis was split."
"Dudleya cymosa ssp.
marcescens",marcescent dudleya,SR,197811XX,FT,19970129,
"Dudleya cymosa ssp.
ovatifolia",Santa Monica dudleya,,,FT,19970129,
Dudleya nesiotica,Santa Cruz Island dudleya,SR,197911XX,FT,19970731,
Dudleya parva,Conejo dudleya,,,FT,19970129,"Scientific name at time of listing:
Dudleya abramsii ssp. parva"
Dudleya stolonifera,Laguna Beach dudleya,ST,198701XX,FT,19981013,
Dudleya traskiae,Santa Barbara Island dudleya,SE,197911XX,FE,19780527,
Dudleya verityi,Verity's dudleya,,,FT,19970129,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
"Enceliopsis nudicaulis var.
corrugata",Ash Meadows daisy,,,FT,19850520,
Eremalche kernensis,Kern mallow,,,FE,19900719,
Eremogone ursina,Big Bear Valley sandwort,,,FT,19981014,"Scientific name at time of listing:
Arenaria ursina"
"Eriastrum densifolium ssp.
sanctorum",Santa Ana River woollystar,SE,198701XX,FE,19870928,
Eriastrum hooveri,Hoover's woolly-star,,,FDR,20031007,
Eriastrum tracyi,Tracy's eriastrum,SR,198207XX,,,
Erigeron parishii,Parish's daisy,,,FT,19940824,
Eriodictyon altissimum,"Indian Knob
mountainbalm",SE,197907XX,FE,19941215,
Eriodictyon capitatum,Lompoc yerba santa,SR,197909XX,FE,20000320,
Eriogonum alpinum,Trinity buckwheat,SE,197907XX,,,
"Eriogonum apricum var.
apricum",Ione buckwheat,SE,198108XX,FE,19990526,"USFWS listed the entire species,
Eriogonum apricum."
"Eriogonum apricum var.
prostratum",Irish Hill buckwheat,SE,198701XX,FE,19990526,"USFWS listed the entire species,
Eriogonum apricum."
Eriogonum butterworthianum,Butterworth's buckwheat,SR,197911XX,,,
Eriogonum crocatum,conejo buckwheat,SR,197909XX,,,
"Eriogonum giganteum var.
compactum",Santa Barbara Island buckwheat,SR,197911XX,,,
"Eriogonum grande var.
timorum",San Nicolas Island buckwheat,SE,197911XX,,,Scientific name at time of listing: Eriogonum grande ssp. timorum. CCR lists common name as San Nicholas Island buckwheat.
Eriogonum kelloggii,Kellogg's buckwheat,SE,198204XX,,,FC on 20040504; removed from FC list on 20140918.
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
"Eriogonum kennedyi var.
austromontanum",southern mountain buckwheat,,,FT,19981014,
"Eriogonum ovalifolium var.
vineum",Cushenbury buckwheat,,,FE,19940824,
Eriogonum thornei,Thorne's buckwheat,SE,197909XX,,,"Scientific name at time of listing:
Eriogonum ericifolium var. thornei"
Eriogonum twisselmannii,Twisselmann's buckwheat,SR,198207XX,,,
Eriophyllum congdonii,Congdon's woolly sunflower,SR,198207XX,,,
Eriophyllum latilobum,"San Mateo woolly
sunflower",SE,199206XX,FE,19950203,
"Eryngium aristulatum var.
parishii",San Diego button-celery,SE,197907XX,FE,19930803,
Eryngium constancei,Loch Lomond button- celery,SE,198701XX,FE,19870122,"Emergency FE listing 19850801; formal FE status on 19870122.
Synonym: Loch Lomond coyote thistle."
Eryngium racemosum,Delta button-celery,SE,19820117,,,
"Erysimum capitatum var.
angustatum",Contra Costa wallflower,SE,197811XX,FE,19780527,
Erysimum menziesii,Menzies' wallflower,SE,198409XX,FE,19920622,"USFWS separately listed three subspecies as endangered; E. menziesii ssp. eurekense, E. menziesii ssp. menziesii, and E. menziesii ssp. yadonii. Current taxonomic treatment no longer recognizes subspecies within E.
menziesii."
Erysimum teretifolium,Santa Cruz wallflower,SE,198108XX,FE,19940204,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Euphorbia hooveri,Hoover's spurge,,,FT,19970326,"Scientific name at time of listing:
Chamaesyce hooveri"
Fremontodendron decumbens,Pine Hill flannelbush,SR,197907XX,FE,19961018,Scientific name at time of listing: Fremontodendron californicum ssp. decumbens
Fremontodendron mexicanum,Mexican flannelbush,SR,198207XX,FE,19981013,
Fritillaria gentneri,Gentner's fritillary,,,FE,19991210,
Fritillaria roderickii,Roderick's fritillary,SE,197911XX,,,
Fritillaria striata,striped adobe-lily,ST,198701XX,,,
"Galium angustifolium ssp.
borregoense",Borrego bedstraw,SR,197909XX,,,
Galium buxifolium,box bedstraw,SR,197911XX,FE,19970731,
"Galium californicum ssp.
sierrae",El Dorado bedstraw,SR,197911XX,FE,19961018,
"Galium catalinense ssp.
acrispum",San Clemente Island bedstraw,SE,198204XX,,,
Gilia tenuiflora ssp. arenaria,sand gilia,ST,198701XX,FE,19920622,Synonym: Monterey gilia
"Gilia tenuiflora ssp.
hoffmannii",Hoffmann's slender- flowered gilia,,,FE,19970731,
Gratiola heterosepala,Boggs Lake hedge-hyssop,SE,197811XX,,,
Grindelia fraxinipratensis,Ash Meadows gumplant,,,FT,19850520,"Scientific name at time of listing:
Grindelia fraxino-pratensis"
Hazardia orcuttii,Orcutt's hazardia,ST,200208XX,,,FC on 20040504; removed from FC list on 20131122.
Helianthemum greenei,island rush-rose,,,FT,19970731,
"Helianthus niveus ssp.
tephrodes",Algodones Dunes sunflower,SE,197911XX,,,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
"Hesperocyparis abramsiana
var. abramsiana",Santa Cruz cypress,SE,197911XX,"FT
FE","20160321
19870108","USFWS listed the entire species, Cupressus abramsiana, as FE on 19870108; reclassified as FT on
20160321."
"Hesperocyparis abramsiana
var. butanoensis",Butano Ridge cypress,SE,197911XX,"FT
FE","20160321
19870108","USFWS listed the entire species, Cupressus abramsiana, as FE on 19870108; reclassified as FT on
20160321."
Hesperocyparis goveniana,Gowen cypress,,,FT,19980812,"Scientific name at time of listing:
Cupressus goveniana ssp. goveniana"
Hesperolinon congestum,Marin western flax,ST,199206XX,FT,19950203,
Hesperolinon didymocarpum,Lake County western flax,SE,198108XX,,,
Holmgrenanthe petrophila,rock lady,SR,198207XX,,,"Scientific name at time of listing:
Maurandya petrophila"
Holocarpha macradenia,Santa Cruz tarplant,SE,197909XX,FT,20000320,
Howellia aquatilis,water howellia,,,FT,19940714,
Ivesia callida,Tahquitz ivesia,SR,198207XX,,,
Ivesia webberi,Webber's ivesia,,,FT,20140703,FC on 20040504; moved to FPT on 20130802.
Lasthenia burkei,Burke's goldfields,SE,197909XX,FE,19911202,
Lasthenia conjugens,Contra Costa goldfields,,,FE,19970618,
Layia carnosa,beach layia,SE,199001XX,FE,19920622,
Leptosiphon croceus,coast yellow leptosiphon,SE,20190401,,,
Lessingia germanorum,San Francisco lessingia,SE,199001XX,FE,19970619,"Synonym: Lessingia germanorum
var. germanorum"
Lewisia congdonii,Congdon's lewisia,SR,198207XX,,,
Lilaeopsis masonii,Mason's lilaeopsis,SR,197911XX,,,
Lilium occidentale,western lily,SE,19820117,FE,19940817,
"Lilium pardalinum ssp.
pitkinense",Pitkin Marsh lily,SE,197811XX,FE,19971022,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Limnanthes alba ssp. parishii,Parish's meadowfoam,SE,197907XX,,,"Scientific name at time of listing:
Limnanthes gracilis var. parishii"
Limnanthes bakeri,Baker's meadowfoam,SR,197811XX,,,
"Limnanthes douglasii ssp.
sulphurea",Point Reyes meadowfoam,SE,198204XX,,,
"Limnanthes floccosa ssp.
californica",Butte County meadowfoam,SE,198202XX,FE,19920608,
Limnanthes vinculans,Sebastopol meadowfoam,SE,197911XX,FE,19911202,
Lithophragma maximum,San Clemente Island woodland star,SE,198202XX,FE,19970808,
