County,FIPS,MapDate,DSCI
Fresno County,6019,20061107,0
Fresno County,6019,20061114,0
Fresno County,6019,20061121,64
Fresno County,6019,20061128,64
Fresno County,6019,20061205,100
Fresno County,6019,20061212,77
Fresno County,6019,20061219,100
Fresno County,6019,20061226,100
Fresno County,6019,20070102,100
Fresno County,6019,20070109,99
Fresno County,6019,20070116,99
Fresno County,6019,20070123,135
Fresno County,6019,20070130,200
Fresno County,6019,20070206,200
Fresno County,6019,20070213,199
Fresno County,6019,20070220,199
Fresno County,6019,20070227,199
Fresno County,6019,20070306,199
Fresno County,6019,20070313,199
Fresno County,6019,20070320,199
Fresno County,6019,20070327,199
Fresno County,6019,20070403,200
Fresno County,6019,20070410,200
Fresno County,6019,20070417,240
Fresno County,6019,20070424,222
Fresno County,6019,20070501,222
Fresno County,6019,20070508,222
Fresno County,6019,20070515,285
Fresno County,6019,20070522,286
Fresno County,6019,20070529,286
Fresno County,6019,20070605,286
Fresno County,6019,20070612,286
Fresno County,6019,20070619,286
Fresno County,6019,20070626,286
Fresno County,6019,20070703,286
Fresno County,6019,20070710,286
Fresno County,6019,20070717,286
Fresno County,6019,20070724,286
Fresno County,6019,20070731,286
Fresno County,6019,20070807,286
Fresno County,6019,20070814,286
Fresno County,6019,20070821,286
Fresno County,6019,20070828,286
Fresno County,6019,20070904,286
Fresno County,6019,20070911,286
Fresno County,6019,20070918,286
Fresno County,6019,20070925,286
Fresno County,6019,20071002,286
Fresno County,6019,20071009,286
Fresno County,6019,20071016,286
Fresno County,6019,20071023,286
Fresno County,6019,20071030,286
Fresno County,6019,20071106,286
Fresno County,6019,20071113,284
Fresno County,6019,20071120,284
Fresno County,6019,20071127,284
Fresno County,6019,20071204,284
Fresno County,6019,20071211,284
Fresno County,6019,20071218,284
Fresno County,6019,20071225,284
Fresno County,6019,20080101,284
Fresno County,6019,20080108,203
Fresno County,6019,20080115,203
Fresno County,6019,20080122,203
Fresno County,6019,20080129,141
Fresno County,6019,20080205,102
Fresno County,6019,20080212,105
Fresno County,6019,20080219,105
Fresno County,6019,20080226,65
Fresno County,6019,20080304,65
Fresno County,6019,20080311,65
Fresno County,6019,20080318,65
Fresno County,6019,20080325,65
Fresno County,6019,20080401,65
Fresno County,6019,20080408,119
Fresno County,6019,20080415,119
Fresno County,6019,20080422,119
Fresno County,6019,20080429,145
Fresno County,6019,20080506,154
Fresno County,6019,20080513,154
Fresno County,6019,20080520,154
Fresno County,6019,20080527,154
Fresno County,6019,20080603,175
Fresno County,6019,20080610,175
Fresno County,6019,20080617,272
Fresno County,6019,20080624,272
Fresno County,6019,20080701,272
Fresno County,6019,20080708,272
Fresno County,6019,20080715,272
Fresno County,6019,20080722,272
Fresno County,6019,20080729,272
Fresno County,6019,20080805,272
Fresno County,6019,20080812,272
Fresno County,6019,20080819,272
Fresno County,6019,20080826,272
Fresno County,6019,20080902,272
Fresno County,6019,20080909,272
Fresno County,6019,20080916,272
Fresno County,6019,20080923,272
Fresno County,6019,20080930,272
Fresno County,6019,20081007,272
