obsID,kingdom,phylum,class,order,family,genus,species,ScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,fireSite,fireYear,fireSize,fireID,desert
9940,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo bellii,Vireo bellii pusillus,,34.184916,-116.481308,2021-09-01T08:58:00,1,9,2021,HUMAN_OBSERVATION,iNaturalist,SAWTOOTH COMPLEX,2006,61767.18,261,Mojave
9949,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,,35.285739,-115.528321,2012-04-15T08:13:39,15,4,2012,HUMAN_OBSERVATION,iNaturalist,DOME,2020,44211.08459,1109,Mojave
10675,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,35.160282,-115.382668,2012-04-28T09:41:00,28,4,2012,HUMAN_OBSERVATION,iNaturalist,HACKBERRY COMPLEX 1,2005,63771.3,565,Mojave
10918,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Uma,Uma inornata,Uma inornata,,33.885931,-116.634964,2020-06-02T00:00:00,2,6,2020,HUMAN_OBSERVATION,iNaturalist,BLAISDELL,2005,5491.788,505,Sonoran
11055,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.331965,-116.459088,2017-09-25T11:34:00,25,9,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
11133,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus,,34.04752,-116.56734,2021-10-05T08:28:00,5,10,2021,HUMAN_OBSERVATION,iNaturalist,PARADISE,2005,3081.726,271,Mojave
11862,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus agassizii,Gopherus agassizii,,33.882133,-116.687901,2014-04-06T10:50:50,6,4,2014,HUMAN_OBSERVATION,iNaturalist,VERBENIA,2004,3831.371,82,Sonoran
11978,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus californicus,Anaxyrus californicus,,34.310097,-117.394661,2018-05-22T20:30:00,22,5,2018,HUMAN_OBSERVATION,iNaturalist,OLD,2003,91428,512,Mojave
12073,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.923123,-116.711372,2022-01-20T16:31:54,20,1,2022,HUMAN_OBSERVATION,iNaturalist,CABAZON,2011,98.981,316,Sonoran
12078,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.152238,-116.475664,2018-11-03T08:44:46,3,11,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
12327,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.268368,-115.520065,2019-05-12T00:00:00,12,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
13231,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,34.423827,-117.808318,2021-08-10T04:07:00,10,8,2021,HUMAN_OBSERVATION,iNaturalist,BOBCAT,2020,115997.5701,1110,Mojave
13633,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,280,34.70799,-118.42872,2012-04-16T00:00:00,16,4,2012,HUMAN_OBSERVATION,EBIRD,POWERHOUSE,2013,30267.57,418,Mojave
15208,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.261868,-116.473421,2017-03-04T11:10:18,4,3,2017,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
15592,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.230816,-116.484486,2012-10-20T10:43:00,20,10,2012,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
15612,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.353615,-116.482358,2017-03-30T00:00:00,30,3,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.99,314,Sonoran
20136,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.237761,-116.491592,2018-04-16T12:22:23,16,4,2018,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
21304,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus crotchii,Bombus crotchii,,33.140378,-116.548907,2020-03-28T14:21:10,28,3,2020,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.24,263,Sonoran
29720,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,2,37.44076,-121.30736,2014-04-24T00:00:00,24,4,2014,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.2556,1112,San Joaquin
29852,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,3,37.441776,-121.30011,2014-06-06T00:00:00,6,6,2014,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.2556,1112,San Joaquin
29895,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,Riparia riparia,Riparia riparia,1,34.044693,-116.58022,2013-04-10T00:00:00,10,4,2013,HUMAN_OBSERVATION,EBIRD,PARADISE,2005,3081.726,271,Mojave
30605,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.08305,-121.06041,2017-05-06T00:00:00,6,5,2017,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
30654,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,6,37.169483,-121.15877,2019-06-19T00:00:00,19,6,2019,HUMAN_OBSERVATION,EBIRD,MCCABE,2015,1728.974,997,San Joaquin
30654,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,6,37.169483,-121.15877,2019-06-19T00:00:00,19,6,2019,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.2556,1112,San Joaquin
31241,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2017-04-01T00:00:00,1,4,2017,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
32236,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,,35.316235,-115.545737,2021-04-29T17:50:00,29,4,2021,HUMAN_OBSERVATION,iNaturalist,DOME,2020,44211.08459,1109,Mojave
33256,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.155196,-116.483107,2018-02-17T11:23:33,17,2,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
33267,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.117121,-116.465207,2021-02-17T14:41:09,17,2,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.18,417,Sonoran
33315,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.042199,-116.446918,2021-02-02T12:16:02,2,2,2021,HUMAN_OBSERVATION,iNaturalist,BANNER FIRE,2012,5320.116,329,Sonoran
33434,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.045365,-116.439233,2018-03-07T11:02:38,7,3,2018,HUMAN_OBSERVATION,iNaturalist,BANNER FIRE,2012,5320.116,329,Sonoran
34119,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,Ammospermophilus nelsoni,,35.023225,-119.577792,2017-04-08T08:06:00,8,4,2017,HUMAN_OBSERVATION,iNaturalist,SODA,2016,2000.281,1086,San Joaquin
34641,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus,1,37.44186,-121.299144,2015-06-01T14:00:00,1,6,2015,HUMAN_OBSERVATION,,DEL PUERTO,2020,390647.2556,1112,San Joaquin
38423,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,35.31624,-115.55262,2014-04-05T00:00:00,5,4,2014,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
39806,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.31624,-115.55262,2019-05-11T00:00:00,11,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
40036,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.277576,-115.60192,1998-06-07T00:00:00,7,6,1998,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
40192,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.448895,-121.255264,2020-09-22T00:00:00,22,9,2020,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.2556,1112,San Joaquin
40626,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,2,36.89789,-120.80931,2017-05-28T00:00:00,28,5,2017,HUMAN_OBSERVATION,EBIRD,DOS AMIGOS,2005,746.0347,721,San Joaquin
43068,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,8,35.025692,-119.58132,2017-05-02T00:00:00,2,5,2017,HUMAN_OBSERVATION,EBIRD,SODA,2016,2000.281,1086,San Joaquin
43276,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,8,34.43565,-117.83632,2014-03-22T00:00:00,22,3,2014,HUMAN_OBSERVATION,EBIRD,BOBCAT,2020,115997.5701,1110,Mojave
43608,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.31624,-115.55262,2019-05-11T00:00:00,11,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
43788,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.062,-121.03,2019-03-24T00:00:00,24,3,2019,HUMAN_OBSERVATION,EBIRD,BASALT,2004,410.184,929,San Joaquin
45506,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.25319,-115.51266,1999-04-22T00:00:00,22,4,1999,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
45572,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.08305,-121.06041,2015-02-07T00:00:00,7,2,2015,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
46337,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.25319,-115.51266,2015-05-25T00:00:00,25,5,2015,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
46443,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes uropygialis,Melanerpes uropygialis,1,32.769012,-114.58019,2013-10-26T00:00:00,26,10,2013,HUMAN_OBSERVATION,EBIRD,HAUGHTELIN,2010,2319.5,356,Sonoran
46888,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,35.131176,-115.43524,2012-09-08T00:00:00,8,9,2012,HUMAN_OBSERVATION,EBIRD,HACKBERRY COMPLEX 1,2005,63771.3,565,Mojave
46911,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2017-04-01T00:00:00,1,4,2017,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
48101,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.277576,-115.60192,2009-06-28T00:00:00,28,6,2009,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
49207,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.83723,-116.22368,2008-06-14T00:00:00,14,6,2008,HUMAN_OBSERVATION,EBIRD,TECOPA,2010,105.7345,291,Mojave
49242,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,4,33.11509,-116.44083,2017-05-27T00:00:00,27,5,2017,HUMAN_OBSERVATION,EBIRD,NARROWS,2010,49.86191,296,Sonoran
49649,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2020-06-02T00:00:00,2,6,2020,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
49702,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.08305,-121.06041,2019-11-03T00:00:00,3,11,2019,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
49809,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.25319,-115.51266,2010-07-16T00:00:00,16,7,2010,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
49823,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.31624,-115.55262,2018-02-09T00:00:00,9,2,2018,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
50291,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,33.099594,-116.47182,2010-03-21T00:00:00,21,3,2010,HUMAN_OBSERVATION,EBIRD,STEWART,2012,10630.18,417,Sonoran
50804,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,Riparia riparia,Riparia riparia,10,35.832287,-116.2235,2019-05-27T00:00:00,27,5,2019,HUMAN_OBSERVATION,EBIRD,TECOPA,2010,105.7345,291,Mojave
52156,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,3,37.08305,-121.06041,2015-12-03T00:00:00,3,12,2015,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
52297,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,37.08305,-121.06041,2016-09-04T00:00:00,4,9,2016,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
53918,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2019-06-07T00:00:00,7,6,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
54612,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,34.894096,-119.50361,2009-05-03T00:00:00,3,5,2009,HUMAN_OBSERVATION,EBIRD,HWY166,2004,65.16033,856,San Joaquin
55101,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,35.832287,-116.2235,2005-06-02T00:00:00,2,6,2005,HUMAN_OBSERVATION,EBIRD,TECOPA,2010,105.7345,291,Mojave
55223,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,150,34.71664,-118.42258,2011-04-17T00:00:00,17,4,2011,HUMAN_OBSERVATION,EBIRD,POWERHOUSE,2013,30267.57,418,Mojave
55237,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,33.12087,-116.48428,2016-04-10T00:00:00,10,4,2016,HUMAN_OBSERVATION,EBIRD,STEWART,2012,10630.18,417,Sonoran
56477,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,,37.44076,-121.30736,2011-05-29T00:00:00,29,5,2011,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.2556,1112,San Joaquin
58108,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,,35.832287,-116.2235,2005-05-25T00:00:00,25,5,2005,HUMAN_OBSERVATION,EBIRD,TECOPA,2010,105.7345,291,Mojave
59491,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,35.31624,-115.55262,2010-05-22T00:00:00,22,5,2010,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
59539,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2020-06-13T00:00:00,13,6,2020,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
60022,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.08305,-121.06041,2015-06-30T00:00:00,30,6,2015,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
61408,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.354145,-115.57676,2017-03-17T00:00:00,17,3,2017,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
61499,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.25319,-115.51266,2019-06-19T00:00:00,19,6,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.08459,1109,Mojave
62036,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,10,35.9561,-120.174,2011-05-21T00:00:00,21,5,2011,HUMAN_OBSERVATION,EBIRD,AVENAL,2008,945.3325,941,San Joaquin
62200,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,35.82334,-120.27737,2018-01-05T00:00:00,5,1,2018,HUMAN_OBSERVATION,EBIRD,TURKEY,2012,2530.048,975,San Joaquin
62665,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.077686,-121.07082,2018-12-21T00:00:00,21,12,2018,HUMAN_OBSERVATION,EBIRD,SAN LUIS,2005,332.2597,727,San Joaquin
62665,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.077686,-121.07082,2018-12-21T00:00:00,21,12,2018,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
62665,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.077686,-121.07082,2018-12-21T00:00:00,21,12,2018,HUMAN_OBSERVATION,EBIRD,ROMERO,2008,766.0438,938,San Joaquin
62665,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.077686,-121.07082,2018-12-21T00:00:00,21,12,2018,HUMAN_OBSERVATION,EBIRD,ROMERO,2011,451.0401,971,San Joaquin
63254,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.08305,-121.06041,2019-11-10T00:00:00,10,11,2019,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.85,873,San Joaquin
