OBJECTID,obsID,kingdom,phylum,class,order_,family,genus,species,Scientific,individual,decimalLat,decimalLon,eventDate,day,month,year,basisOfRec,institutio,fireSite,fireYear,fireSize,fireID,desert,NEAR_FID_R,nearRdDist,NEAR_FID_U,nearUADist
34,11978,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus californicus,Anaxyrus californicus,,34.310096999999999,-117.394660999999999,2018-05-22T20:30:00,22,5,2018,HUMAN_OBSERVATION,iNaturalist,OLD,2003,91428.000000000000000,512,Mojave,3865,99647.673748700981378,2478,5690.049579893464397
35,12073,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.923122999999997,-116.711371999999997,2022-01-20T16:31:54,20,1,2022,HUMAN_OBSERVATION,iNaturalist,CABAZON,2011,98.980999999999995,316,Sonoran,3865,115461.277658059727401,303,11330.043951310115517
36,12078,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.152237999999997,-116.475663999999995,2018-11-03T08:44:46,3,11,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,201442.866332355974009,2259,30720.239593249258178
37,12327,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.268368000000002,-115.520065000000002,2019-05-12T00:00:00,12,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,21837.504042926218972,14,81411.757377951085800
38,13231,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,34.423827000000003,-117.808318000000000,2021-08-10T04:07:00,10,8,2021,HUMAN_OBSERVATION,iNaturalist,BOBCAT,2020,115997.570099999997183,1110,Mojave,3865,121983.643052346480545,1921,15194.552158137721563
39,13633,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,280,34.707990000000002,-118.428719999999998,2012-04-16T00:00:00,16,4,2012,HUMAN_OBSERVATION,EBIRD,POWERHOUSE,2013,30267.569999999999709,418,Mojave,3865,165332.554631745733786,92,14557.267586359614143
40,15208,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.261868000000000,-116.473421000000002,2017-03-04T11:10:18,4,3,2017,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,189340.939361148164608,2259,38783.529059342938126
41,15592,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Ovis canadensis nelsoni,,33.230815999999997,-116.484486000000004,2012-10-20T10:43:00,20,10,2012,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,192690.369699441798730,2259,35576.693195906598703
42,15612,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.353614999999998,-116.482358000000005,2017-03-30T00:00:00,30,3,2017,HUMAN_OBSERVATION,iNaturalist,EAGLE,2011,13992.989999999999782,314,Sonoran,3865,179131.342551073001232,302,35102.113994550491043
43,20136,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon macularius,Cyprinodon macularius,,33.237760999999999,-116.491591999999997,2018-04-16T12:22:23,16,4,2018,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,191872.070778867695481,2259,35670.668726333082304
44,21304,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus crotchii,Bombus crotchii,,33.140377999999998,-116.548907000000000,2020-03-28T14:21:10,28,3,2020,HUMAN_OBSERVATION,iNaturalist,PINES,2002,61691.239999999997963,263,Sonoran,3865,202336.640529215714196,2259,24388.036193281324813
45,29720,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,2,37.440759999999997,-121.307360000000003,2014-04-24T00:00:00,24,4,2014,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.255599999974947,1112,San Joaquin,3865,501112.406598778790794,1816,12623.149889720974898
46,29852,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,3,37.441775999999997,-121.300110000000004,2014-06-06T00:00:00,6,6,2014,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.255599999974947,1112,San Joaquin,3865,500627.353414816199802,1816,11981.532440741966639
47,29895,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,Riparia riparia,Riparia riparia,1,34.044693000000002,-116.580219999999997,2013-04-10T00:00:00,10,4,2013,HUMAN_OBSERVATION,EBIRD,PARADISE,2005,3081.726000000000113,271,Mojave,3865,102017.328970679416670,2394,6534.011994585522189
48,30605,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.083050000000000,-121.060410000000005,2017-05-06T00:00:00,6,5,2017,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.849999999999909,873,San Joaquin,3865,462042.673965184076224,2442,16378.775668066227809
49,30654,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,6,37.169483000000000,-121.158770000000004,2019-06-19T00:00:00,19,6,2019,HUMAN_OBSERVATION,EBIRD,MCCABE,2015,1728.973999999999933,997,San Joaquin,3865,474374.567893806146458,345,15478.624937258447972
50,30654,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,6,37.169483000000000,-121.158770000000004,2019-06-19T00:00:00,19,6,2019,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.255599999974947,1112,San Joaquin,3865,474374.567893806146458,345,15478.624937258447972
51,31241,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.253189999999996,-115.512659999999997,2017-04-01T00:00:00,1,4,2017,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
52,32236,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,,35.316234999999999,-115.545737000000003,2021-04-29T17:50:00,29,4,2021,HUMAN_OBSERVATION,iNaturalist,DOME,2020,44211.084589999998570,1109,Mojave,3865,16940.600480861394317,14,77914.408952978992602
53,33256,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.155195999999997,-116.483107000000004,2018-02-17T11:23:33,17,2,2018,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,201062.691715508961352,2259,30318.224201166172861
54,33267,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.117120999999997,-116.465207000000007,2021-02-17T14:41:09,17,2,2021,HUMAN_OBSERVATION,iNaturalist,STEWART,2012,10630.180000000000291,417,Sonoran,3865,205402.912488484085770,2259,29693.957912678230059
55,33315,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.042198999999997,-116.446917999999997,2021-02-02T12:16:02,2,2,2021,HUMAN_OBSERVATION,iNaturalist,BANNER FIRE,2012,5320.115999999999985,329,Sonoran,3865,213825.797004005260533,2259,28909.534369223954855
56,33434,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,Puma concolor,,33.045364999999997,-116.439233000000002,2018-03-07T11:02:38,7,3,2018,HUMAN_OBSERVATION,iNaturalist,BANNER FIRE,2012,5320.115999999999985,329,Sonoran,3865,213538.835481453366810,2259,29672.642873516921100
57,34119,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,Ammospermophilus nelsoni,,35.023224999999996,-119.577792000000002,2017-04-08T08:06:00,8,4,2017,HUMAN_OBSERVATION,iNaturalist,SODA,2016,2000.280999999999949,1086,San Joaquin,3865,267573.182451758359093,1126,14334.946564003405001
58,34641,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus,1,37.441859999999998,-121.299143999999998,2015-06-01T14:00:00,1,6,2015,HUMAN_OBSERVATION,,DEL PUERTO,2020,390647.255599999974947,1112,San Joaquin,3865,500559.739399821904954,1816,11898.098191060338650
59,38423,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,35.316240000000001,-115.552620000000005,2014-04-05T00:00:00,5,4,2014,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,17009.321351112448610,14,78236.871807073534001
60,39806,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.316240000000001,-115.552620000000005,2019-05-11T00:00:00,11,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,17009.321351112448610,14,78236.871807073534001
61,40036,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.277576000000003,-115.601920000000007,1998-06-07T00:00:00,7,6,1998,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,19585.671736658936425,14,84229.816963471297640
62,40192,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.448895000000000,-121.255263999999997,2020-09-22T00:00:00,22,9,2020,HUMAN_OBSERVATION,EBIRD,DEL PUERTO,2020,390647.255599999974947,1112,San Joaquin,3865,497685.767887239169795,1816,8008.611962223933915
63,40626,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,2,36.897889999999997,-120.809309999999996,2017-05-28T00:00:00,28,5,2017,HUMAN_OBSERVATION,EBIRD,DOS AMIGOS,2005,746.034700000000043,721,San Joaquin,3865,432539.889708122995216,1679,15160.315131245153680
64,43068,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,8,35.025691999999999,-119.581320000000005,2017-05-02T00:00:00,2,5,2017,HUMAN_OBSERVATION,EBIRD,SODA,2016,2000.280999999999949,1086,San Joaquin,3865,267898.126101442263462,1126,14335.334496380995915
65,43276,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,Agelaius tricolor,8,34.435650000000003,-117.836320000000001,2014-03-22T00:00:00,22,3,2014,HUMAN_OBSERVATION,EBIRD,BOBCAT,2020,115997.570099999997183,1110,Mojave,3865,123594.079295654009911,92,15202.532571335263128
66,43608,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.316240000000001,-115.552620000000005,2019-05-11T00:00:00,11,5,2019,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,17009.321351112448610,14,78236.871807073534001
67,43788,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,37.061999999999998,-121.030000000000001,2019-03-24T00:00:00,24,3,2019,HUMAN_OBSERVATION,EBIRD,BASALT,2004,410.184000000000026,929,San Joaquin,3865,458541.628221373655833,2442,13403.767887477670229
68,45506,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.253189999999996,-115.512659999999997,1999-04-22T00:00:00,22,4,1999,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
69,45572,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.083050000000000,-121.060410000000005,2015-02-07T00:00:00,7,2,2015,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.849999999999909,873,San Joaquin,3865,462042.673965184076224,2442,16378.775668066227809
70,46337,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.253189999999996,-115.512659999999997,2015-05-25T00:00:00,25,5,2015,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
71,46443,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes uropygialis,Melanerpes uropygialis,1,32.769011999999996,-114.580190000000002,2013-10-26T00:00:00,26,10,2013,HUMAN_OBSERVATION,EBIRD,HAUGHTELIN,2010,2319.500000000000000,356,Sonoran,3865,301986.701045676541980,551,1382.256154901954005
72,46888,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,35.131176000000004,-115.435239999999993,2012-09-08T00:00:00,8,9,2012,HUMAN_OBSERVATION,EBIRD,HACKBERRY COMPLEX 1,2005,63771.300000000002910,565,Mojave,3865,36770.625027561633033,701,72116.237098637604504
73,46911,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.253189999999996,-115.512659999999997,2017-04-01T00:00:00,1,4,2017,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
74,48101,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.277576000000003,-115.601920000000007,2009-06-28T00:00:00,28,6,2009,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,19585.671736658936425,14,84229.816963471297640
75,49207,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,1,35.837229999999998,-116.223680000000002,2008-06-14T00:00:00,14,6,2008,HUMAN_OBSERVATION,EBIRD,TECOPA,2010,105.734499999999997,291,Mojave,3865,59229.432290786498925,410,37877.047641164506786
76,49242,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Empidonax traillii,4,33.115090000000002,-116.440830000000005,2017-05-27T00:00:00,27,5,2017,HUMAN_OBSERVATION,EBIRD,NARROWS,2010,49.861910000000002,296,Sonoran,3865,205824.169715322583215,2259,31679.320101533456182
77,49649,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,2,35.253189999999996,-115.512659999999997,2020-06-02T00:00:00,2,6,2020,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
78,49702,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,37.083050000000000,-121.060410000000005,2019-11-03T00:00:00,3,11,2019,HUMAN_OBSERVATION,EBIRD,ROMERO,2000,1706.849999999999909,873,San Joaquin,3865,462042.673965184076224,2442,16378.775668066227809
79,49809,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.253189999999996,-115.512659999999997,2010-07-16T00:00:00,16,7,2010,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,23380.952786061669030,701,80768.611412414684310
80,49823,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,Colaptes chrysoides,1,35.316240000000001,-115.552620000000005,2018-02-09T00:00:00,9,2,2018,HUMAN_OBSERVATION,EBIRD,DOME,2020,44211.084589999998570,1109,Mojave,3865,17009.321351112448610,14,78236.871807073534001
81,50291,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Buteo swainsoni,1,33.099594000000003,-116.471819999999994,2010-03-21T00:00:00,21,3,2010,HUMAN_OBSERVATION,EBIRD,STEWART,2012,10630.180000000000291,417,Sonoran,3865,207291.651314695278415,2259,28348.460879254573229
