FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
45161,Buteo swainsoni,Aves,Accipitriformes,2019,4,14,-118.115,36.6939,1,HUMAN_OBSERVATION,MOFFAT,2018,1253.925,351,2000,6644
45230,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,2,20,-120.67738,37.19229,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
45293,Empidonax traillii,Aves,Passeriformes,2018,9,29,-114.48765,34.74276,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
45402,Melanerpes uropygialis,Aves,Piciformes,2015,1,3,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45421,Melanerpes uropygialis,Aves,Piciformes,2020,9,12,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45529,Melanerpes uropygialis,Aves,Piciformes,2013,1,24,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45738,Melanerpes uropygialis,Aves,Piciformes,2016,3,27,-114.69516,32.739243,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
45780,Melanerpes uropygialis,Aves,Piciformes,1977,3,17,-114.46194,32.880142,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45928,Melanerpes uropygialis,Aves,Piciformes,1977,12,22,-114.46656,32.88192,10,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46176,Melanerpes uropygialis,Aves,Piciformes,2010,5,8,-114.46656,32.88192,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46475,Melanerpes uropygialis,Aves,Piciformes,1985,2,18,-114.46656,32.88192,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46650,Melanerpes uropygialis,Aves,Piciformes,1977,11,22,-114.68241,33.163258,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,2000,5349
46702,Buteo swainsoni,Aves,Accipitriformes,1985,9,18,-120.54044,36.129005,1,HUMAN_OBSERVATION,MINERAL,2020,29666.8421487,1111,2000,15290
47126,Melanerpes uropygialis,Aves,Piciformes,2019,3,22,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47152,Empidonax traillii,Aves,Passeriformes,2016,5,30,-114.46656,32.88192,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47170,Colaptes chrysoides,Aves,Piciformes,2018,5,26,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
