obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
6904,Gymnogyps californianus,Aves,Accipitriformes,2019,10,8,-119.389046,34.919342,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
8089,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,5,26,-116.594101,33.760092,NA,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,2000,5702
8907,Melanerpes uropygialis,Aves,Piciformes,2012,9,20,-116.522369,33.104198,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263,2000,26578
8907,Melanerpes uropygialis,Aves,Piciformes,2012,9,20,-116.522369,33.104198,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417,2000,5490
8930,Haliaeetus leucocephalus,Aves,Accipitriformes,2013,4,30,-121.323395,37.437794,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,2000,29881
10499,Melanerpes uropygialis,Aves,Piciformes,2018,1,19,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
10544,Buteo swainsoni,Aves,Accipitriformes,2018,4,2,-118.057526,36.593452,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
10818,Melanerpes uropygialis,Aves,Piciformes,2018,1,22,-114.69557,32.738663,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
11064,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2019,4,7,-116.440538,33.35214,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314,2000,8233
11095,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,3,19,-116.586556,33.73814,NA,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331,2000,5702
11410,Melanerpes uropygialis,Aves,Piciformes,2018,2,1,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
12189,Gambelia sila,Reptilia,Squamata,2021,4,25,-119.611915,35.045236,NA,HUMAN_OBSERVATION,SODA,2016,2000.281,1086,2000,5370
12288,Melanerpes uropygialis,Aves,Piciformes,2012,11,12,-114.55578,32.78925,5,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,2000,5166
12324,Agelaius tricolor,Aves,Passeriformes,2008,4,22,-121.03088,37.08312,NA,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12327,Empidonax traillii,Aves,Passeriformes,2019,6,3,-117.840546,34.47288,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
12434,Melanerpes uropygialis,Aves,Piciformes,2018,12,17,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
12451,Buteo swainsoni,Aves,Accipitriformes,2011,4,6,-121.024,37.08,6,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12477,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
12524,Agelaius tricolor,Aves,Passeriformes,2014,5,24,-118.38001,34.69632,4,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
12732,Agelaius tricolor,Aves,Passeriformes,2006,4,18,-121.0207,37.080807,NA,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
12824,Melanerpes uropygialis,Aves,Piciformes,2014,12,11,-114.47886,32.902916,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
12879,Buteo swainsoni,Aves,Accipitriformes,2018,4,7,-117.84601,34.471138,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
12985,Riparia riparia,Aves,Passeriformes,2015,7,14,-114.535,34.76573,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
13784,Rana draytonii,Amphibia,Anura,2017,12,14,-116.604435,33.819491,NA,HUMAN_OBSERVATION,TRAM,2013,59.22004,531,2000,1644
18165,Agelaius tricolor,Aves,Passeriformes,2016,3,26,-119.43546,34.95564,200,HUMAN_OBSERVATION,SODA,2005,449.4977,678,2000,3409
18165,Agelaius tricolor,Aves,Passeriformes,2016,3,26,-119.43546,34.95564,200,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,2000,4610
18283,Melanerpes uropygialis,Aves,Piciformes,2013,3,16,-114.48498,34.736954,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
18550,Buteo swainsoni,Aves,Accipitriformes,2018,4,1,-118.39457,34.72747,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
18776,Agelaius tricolor,Aves,Passeriformes,2013,3,17,-118.58134,34.780354,19,HUMAN_OBSERVATION,RANGE,2011,241.0146,311,2000,3533
18828,Melanerpes uropygialis,Aves,Piciformes,2018,12,24,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
18983,Melanerpes uropygialis,Aves,Piciformes,2007,12,27,-114.699585,32.736607,NA,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
19086,Agelaius tricolor,Aves,Passeriformes,2010,2,14,-120.03971,35.353077,100,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
42883,Empidonax traillii,Aves,Passeriformes,2018,5,14,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
42888,Agelaius tricolor,Aves,Passeriformes,2008,5,2,-121.03088,37.08312,NA,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
43412,Gymnogyps californianus,Aves,Accipitriformes,2013,12,18,-119.38917,34.91955,12,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
43439,Agelaius tricolor,Aves,Passeriformes,2016,5,22,-117.84601,34.471138,8,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
43533,Melanerpes uropygialis,Aves,Piciformes,2020,1,16,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
43586,Melanerpes uropygialis,Aves,Piciformes,2011,5,26,-114.50981,34.75064,3,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
43741,Melanerpes uropygialis,Aves,Piciformes,1973,12,18,-114.46656,32.88192,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44333,Buteo swainsoni,Aves,Accipitriformes,2008,5,14,-121.03088,37.08312,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
44634,Melanerpes uropygialis,Aves,Piciformes,2011,10,8,-114.48818,32.864304,3,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44814,Melanerpes uropygialis,Aves,Piciformes,2016,5,14,-114.535,34.76573,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
44929,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,1,12,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44957,Melanerpes uropygialis,Aves,Piciformes,1975,3,26,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
44999,Empidonax traillii,Aves,Passeriformes,2013,5,26,-120.03971,35.353077,2,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
45024,Melanerpes uropygialis,Aves,Piciformes,2011,5,26,-114.50981,34.75064,3,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
45162,Buteo swainsoni,Aves,Accipitriformes,2019,4,14,-118.115,36.6939,1,HUMAN_OBSERVATION,MOFFAT,2018,1253.925,351,2000,6644
45231,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,2,20,-120.67738,37.19229,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
45294,Empidonax traillii,Aves,Passeriformes,2018,9,29,-114.48765,34.74276,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
45403,Melanerpes uropygialis,Aves,Piciformes,2015,1,3,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45422,Melanerpes uropygialis,Aves,Piciformes,2020,9,12,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45530,Melanerpes uropygialis,Aves,Piciformes,2013,1,24,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45739,Melanerpes uropygialis,Aves,Piciformes,2016,3,27,-114.69516,32.739243,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
45781,Melanerpes uropygialis,Aves,Piciformes,1977,3,17,-114.46194,32.880142,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
45929,Melanerpes uropygialis,Aves,Piciformes,1977,12,22,-114.46656,32.88192,10,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46177,Melanerpes uropygialis,Aves,Piciformes,2010,5,8,-114.46656,32.88192,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46476,Melanerpes uropygialis,Aves,Piciformes,1985,2,18,-114.46656,32.88192,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
46651,Melanerpes uropygialis,Aves,Piciformes,1977,11,22,-114.68241,33.163258,2,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,2000,5349
46703,Buteo swainsoni,Aves,Accipitriformes,1985,9,18,-120.54044,36.129005,1,HUMAN_OBSERVATION,MINERAL,2020,29666.8421487,1111,2000,15290
47127,Melanerpes uropygialis,Aves,Piciformes,2019,3,22,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47153,Empidonax traillii,Aves,Passeriformes,2016,5,30,-114.46656,32.88192,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47171,Colaptes chrysoides,Aves,Piciformes,2018,5,26,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
47217,Melanerpes uropygialis,Aves,Piciformes,2016,5,30,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47248,Melanerpes uropygialis,Aves,Piciformes,2016,10,22,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47260,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,4,28,-118.06305,36.610775,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
47294,Empidonax traillii,Aves,Passeriformes,1999,5,26,-116.457825,34.120792,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
47365,Melanerpes uropygialis,Aves,Piciformes,2020,11,30,-114.69886,32.73608,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
47550,Melanerpes uropygialis,Aves,Piciformes,2011,10,27,-114.48251,34.733994,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48255,Melanerpes uropygialis,Aves,Piciformes,2013,4,26,-114.490326,34.739582,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48305,Empidonax traillii,Aves,Passeriformes,1998,9,6,-116.45965,34.121082,NA,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
48386,Buteo swainsoni,Aves,Accipitriformes,2006,5,24,-121.0207,37.080807,NA,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
48404,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,3,22,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48719,Empidonax traillii,Aves,Passeriformes,2017,8,30,-118.34545,34.674374,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
49040,Empidonax traillii,Aves,Passeriformes,2007,6,5,-114.72447,32.708626,5,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49100,Melanerpes uropygialis,Aves,Piciformes,2020,11,19,-114.69886,32.73608,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49240,Melanerpes uropygialis,Aves,Piciformes,2020,1,4,-114.48408,34.736748,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
49243,Riparia riparia,Aves,Passeriformes,2018,4,29,-118.035995,36.618904,8,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
49602,Melanerpes uropygialis,Aves,Piciformes,2020,11,26,-114.69557,32.738663,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49706,Melanerpes uropygialis,Aves,Piciformes,2014,12,30,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
49749,Melanerpes uropygialis,Aves,Piciformes,2019,2,25,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
49940,Melanerpes uropygialis,Aves,Piciformes,2017,11,18,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
50452,Agelaius tricolor,Aves,Passeriformes,2000,4,16,-121.27084,37.462517,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,2000,29881
50700,Colaptes chrysoides,Aves,Piciformes,2016,9,4,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
50869,Buteo swainsoni,Aves,Accipitriformes,2014,4,20,-118.39457,34.72747,1,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
50882,Empidonax traillii,Aves,Passeriformes,2013,5,21,-120.03971,35.353077,1,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
51339,Melanerpes uropygialis,Aves,Piciformes,2011,3,31,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
51470,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,12,31,-119.38754,34.933525,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
51502,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
52068,Colaptes chrysoides,Aves,Piciformes,1996,7,18,-115.500404,35.23286,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
52365,Empidonax traillii,Aves,Passeriformes,2007,5,13,-116.58211,34.058918,NA,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
52365,Empidonax traillii,Aves,Passeriformes,2007,5,13,-116.58211,34.058918,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,2000,6137
52571,Empidonax traillii,Aves,Passeriformes,2013,6,19,-120.03971,35.353077,1,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
53004,Melanerpes uropygialis,Aves,Piciformes,2018,1,22,-114.69557,32.738663,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
53352,Melanerpes uropygialis,Aves,Piciformes,1986,7,23,-114.45964,32.88135,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
53509,Buteo swainsoni,Aves,Accipitriformes,2016,4,30,-121.024,37.08,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
53645,Melanerpes uropygialis,Aves,Piciformes,2019,1,2,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
53771,Empidonax traillii,Aves,Passeriformes,1985,9,21,-116.457825,34.120792,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
54165,Melanerpes uropygialis,Aves,Piciformes,2017,1,9,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54201,Melanerpes uropygialis,Aves,Piciformes,2013,5,3,-114.535,34.76573,NA,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
54205,Colaptes chrysoides,Aves,Piciformes,2018,5,26,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
54329,Melanerpes uropygialis,Aves,Piciformes,2013,8,12,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
54349,Melanerpes uropygialis,Aves,Piciformes,2018,5,5,-114.69557,32.738663,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
54456,Melanerpes uropygialis,Aves,Piciformes,1973,12,18,-114.46656,32.88192,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54575,Melanerpes uropygialis,Aves,Piciformes,2019,1,8,-114.73027,32.707115,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
54705,Melanerpes uropygialis,Aves,Piciformes,2020,10,28,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54843,Buteo swainsoni,Aves,Accipitriformes,2019,6,15,-118.93152,34.942753,145,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,2000,3679
54963,Melanerpes uropygialis,Aves,Piciformes,2006,12,15,-114.48251,34.733994,NA,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
55021,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
55069,Buteo swainsoni,Aves,Accipitriformes,2019,3,30,-118.39457,34.72747,1,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
55172,Melanerpes uropygialis,Aves,Piciformes,2020,4,26,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
55632,Melanerpes uropygialis,Aves,Piciformes,2013,5,11,-114.45647,32.878094,5,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
56641,Agelaius tricolor,Aves,Passeriformes,2010,2,14,-120.03971,35.353077,100,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
56699,Empidonax traillii,Aves,Passeriformes,2013,8,5,-114.535,34.76573,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
56744,Melanerpes uropygialis,Aves,Piciformes,2002,10,5,-114.46656,32.88192,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
56932,Buteo swainsoni,Aves,Accipitriformes,2019,6,5,-118.93234,34.945312,4,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,2000,3679
56976,Melanerpes uropygialis,Aves,Piciformes,2017,1,24,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
57058,Buteo swainsoni,Aves,Accipitriformes,2019,4,8,-121.00014,37.05678,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
57317,Melanerpes uropygialis,Aves,Piciformes,2015,10,29,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
57352,Melanerpes uropygialis,Aves,Piciformes,2018,5,22,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
57426,Melanerpes uropygialis,Aves,Piciformes,2018,1,16,-114.69557,32.738663,3,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
57455,Buteo swainsoni,Aves,Accipitriformes,2013,8,13,-120.6828,37.17851,78,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
57592,Melanerpes uropygialis,Aves,Piciformes,1978,1,28,-114.50415,34.74919,4,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
58508,Melanerpes uropygialis,Aves,Piciformes,2020,9,5,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
58538,Agelaius tricolor,Aves,Passeriformes,2009,9,22,-120.65048,37.19369,2,HUMAN_OBSERVATION,SANDY,2016,0,1107,2000,2962
58674,Melanerpes uropygialis,Aves,Piciformes,2015,10,18,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
58844,Melanerpes uropygialis,Aves,Piciformes,1977,5,26,-114.467445,32.88624,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59044,Melanerpes uropygialis,Aves,Piciformes,2010,1,16,-114.68782,33.238113,3,HUMAN_OBSERVATION,DRAPER,2017,754.3,368,2000,5349
59153,Melanerpes uropygialis,Aves,Piciformes,2018,6,7,-114.45976,32.879894,2,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59305,Empidonax traillii,Aves,Passeriformes,2019,6,16,-117.84601,34.471138,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110,2000,15236
59337,Melanerpes uropygialis,Aves,Piciformes,2017,2,17,-114.49714,32.90156,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59599,Melanerpes uropygialis,Aves,Piciformes,2013,3,8,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
59723,Buteo swainsoni,Aves,Accipitriformes,2015,4,25,-119.5158,34.908245,1,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,2000,2836
59729,Melanerpes uropygialis,Aves,Piciformes,1973,3,24,-114.46656,32.88192,NA,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
59769,Melanerpes uropygialis,Aves,Piciformes,2010,1,14,-114.50981,34.75064,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
59912,Agelaius tricolor,Aves,Passeriformes,2015,10,24,-120.83253,36.512997,1,HUMAN_OBSERVATION,NEW IDRIA,2003,632.0136,911,2000,4026
60192,Empidonax traillii,Aves,Passeriformes,1973,9,14,-116.457825,34.120792,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
60511,Melanerpes uropygialis,Aves,Piciformes,2015,5,17,-114.58188,32.79258,4,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,2000,5166
60580,Agelaius tricolor,Aves,Passeriformes,2019,4,18,-118.34545,34.674374,40,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
60611,Empidonax traillii,Aves,Passeriformes,2002,9,7,-114.48498,34.736954,NA,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
61067,Empidonax traillii,Aves,Passeriformes,2002,6,1,-116.457825,34.120792,NA,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
61186,Melanerpes uropygialis,Aves,Piciformes,2013,3,17,-114.48498,34.736954,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
