obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,FID_,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
43787,Buteo swainsoni,Aves,Accipitriformes,2019,6,28,-118.93435,34.951004,250,HUMAN_OBSERVATION,338,PARKWAY,2009,689.9021,946,1000,2144
43809,Melanerpes uropygialis,Aves,Piciformes,2010,2,16,-114.47162,32.878998,1,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
43938,Empidonax traillii,Aves,Passeriformes,2016,9,3,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
44449,Empidonax traillii,Aves,Passeriformes,2009,6,20,-116.56938,34.05072,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
44501,Buteo swainsoni,Aves,Accipitriformes,2013,3,24,-117.8139,34.457634,2,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
44764,Empidonax traillii,Aves,Passeriformes,2016,10,2,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
44943,Empidonax traillii,Aves,Passeriformes,1986,5,6,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
44981,Buteo swainsoni,Aves,Accipitriformes,2018,8,31,-119.39907,34.931927,1,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
45129,Empidonax traillii,Aves,Passeriformes,2012,5,18,-116.47142,33.09793,1,HUMAN_OBSERVATION,180,STEWART,2012,10630.18,417,1000,8290
45149,Empidonax traillii,Aves,Passeriformes,2016,8,28,-116.5452,34.17208,1,HUMAN_OBSERVATION,28,SAWTOOTH COMPLEX,2006,61767.18,261,1000,21263
45370,Empidonax traillii,Aves,Passeriformes,2014,5,12,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
45406,Agelaius tricolor,Aves,Passeriformes,2019,4,18,-119.43887,34.957783,15,HUMAN_OBSERVATION,256,SODA,2005,449.4977,678,1000,2125
45406,Agelaius tricolor,Aves,Passeriformes,2019,4,18,-119.43887,34.957783,15,HUMAN_OBSERVATION,413,HUDSON,2017,1182.301,1021,1000,3096
45420,Gymnogyps californianus,Aves,Accipitriformes,2019,3,10,-119.39907,34.931927,4,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
45609,Buteo swainsoni,Aves,Accipitriformes,1973,2,25,-120.65426,37.186714,1,HUMAN_OBSERVATION,494,SANDY,2016,0,1107,1000,1430
45844,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,2,19,-120.675,37.18612,1,HUMAN_OBSERVATION,494,SANDY,2016,0,1107,1000,1430
45852,Empidonax traillii,Aves,Passeriformes,2012,5,30,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
45994,Empidonax traillii,Aves,Passeriformes,1993,5,26,-116.45924,33.215355,1,HUMAN_OBSERVATION,30,PINES,2002,61691.24,263,1000,27880
46127,Empidonax traillii,Aves,Passeriformes,2018,9,23,-116.5452,34.17208,2,HUMAN_OBSERVATION,28,SAWTOOTH COMPLEX,2006,61767.18,261,1000,21263
46330,Empidonax traillii,Aves,Passeriformes,2014,5,14,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
46418,Melanerpes uropygialis,Aves,Piciformes,2012,5,20,-114.47981,32.87638,1,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
46559,Empidonax traillii,Aves,Passeriformes,2006,5,23,-116.56938,34.05072,12,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
46560,Gymnogyps californianus,Aves,Accipitriformes,1983,9,10,-119.39907,34.931927,3,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
46730,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,18,-114.52603,34.75041,1,HUMAN_OBSERVATION,121,TOPOCK,2016,2228.4,358,1000,2972
46740,Buteo swainsoni,Aves,Accipitriformes,2018,3,10,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
46742,Gymnogyps californianus,Aves,Accipitriformes,2016,1,30,-119.39508,34.921055,7,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
47072,Empidonax traillii,Aves,Passeriformes,1999,6,4,-116.56938,34.05072,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47176,Empidonax traillii,Aves,Passeriformes,2016,8,29,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47198,Empidonax traillii,Aves,Passeriformes,2019,8,22,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47353,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,10,22,-119.39907,34.931927,1,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
47415,Empidonax traillii,Aves,Passeriformes,2019,5,19,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47435,Buteo swainsoni,Aves,Accipitriformes,2015,4,25,-119.508766,34.893394,1,HUMAN_OBSERVATION,298,HWY166,2004,65.16033,856,1000,1285
47542,Empidonax traillii,Aves,Passeriformes,1985,8,9,-116.56938,34.05072,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47599,Colaptes chrysoides,Aves,Piciformes,2019,6,17,-115.45903,35.16389,1,HUMAN_OBSERVATION,501,HACKBERRY COMPLEX 1,2005,63771.3,565,1000,30414
47770,Empidonax traillii,Aves,Passeriformes,1990,5,23,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
47865,Agelaius tricolor,Aves,Passeriformes,2019,4,13,-119.44746,34.96411,35,HUMAN_OBSERVATION,256,SODA,2005,449.4977,678,1000,2125
47865,Agelaius tricolor,Aves,Passeriformes,2019,4,13,-119.44746,34.96411,35,HUMAN_OBSERVATION,413,HUDSON,2017,1182.301,1021,1000,3096
48044,Buteo swainsoni,Aves,Accipitriformes,2016,3,23,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
48283,Buteo swainsoni,Aves,Accipitriformes,2005,5,15,-117.8687,34.4571,1,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
48370,Empidonax traillii,Aves,Passeriformes,2007,5,29,-116.56938,34.05072,2,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
48377,Empidonax traillii,Aves,Passeriformes,1992,5,21,-116.45924,33.215355,1,HUMAN_OBSERVATION,30,PINES,2002,61691.24,263,1000,27880
48473,Buteo swainsoni,Aves,Accipitriformes,2017,5,18,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
48515,Gymnogyps californianus,Aves,Accipitriformes,2019,3,10,-119.39907,34.931927,4,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
48531,Gymnogyps californianus,Aves,Accipitriformes,2020,2,25,-119.39625,34.930313,14,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
48591,Agelaius tricolor,Aves,Passeriformes,2006,10,25,-120.02206,35.348957,12,HUMAN_OBSERVATION,318,BECK,2000,396.3609,926,1000,2259
48595,Melanerpes uropygialis,Aves,Piciformes,2013,5,1,-114.469,32.884605,2,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
48659,Empidonax traillii,Aves,Passeriformes,2014,5,11,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
48723,Empidonax traillii,Aves,Passeriformes,2016,5,16,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
48953,Empidonax traillii,Aves,Passeriformes,1987,9,19,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
49059,Buteo swainsoni,Aves,Accipitriformes,2009,10,10,-116.57267,34.04935,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
49073,Riparia riparia,Aves,Passeriformes,2016,4,26,-116.23586,35.87709,1,HUMAN_OBSERVATION,155,TECOPA,2017,26.99327,392,1000,1205
49253,Buteo swainsoni,Aves,Accipitriformes,2020,3,29,-117.913994,34.478046,2,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
49484,Empidonax traillii,Aves,Passeriformes,2008,6,4,-116.56938,34.05072,4,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
49714,Gymnogyps californianus,Aves,Accipitriformes,1986,8,16,-119.39907,34.931927,3,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
49791,Empidonax traillii,Aves,Passeriformes,1988,8,9,-116.56938,34.05072,NA,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
49798,Empidonax traillii,Aves,Passeriformes,2014,9,15,-121.048225,37.08216,1,HUMAN_OBSERVATION,305,ROMERO,2000,1706.85,873,1000,3568
49798,Empidonax traillii,Aves,Passeriformes,2014,9,15,-121.048225,37.08216,1,HUMAN_OBSERVATION,330,ROMERO,2008,766.0438,938,1000,1916
49894,Melanerpes uropygialis,Aves,Piciformes,2014,10,17,-114.469,32.884605,6,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
50122,Empidonax traillii,Aves,Passeriformes,2005,6,29,-116.47142,33.09793,1,HUMAN_OBSERVATION,180,STEWART,2012,10630.18,417,1000,8290
50275,Empidonax traillii,Aves,Passeriformes,2016,5,29,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
50310,Colaptes chrysoides,Aves,Piciformes,2018,10,2,-115.39556,35.042805,1,HUMAN_OBSERVATION,501,HACKBERRY COMPLEX 1,2005,63771.3,565,1000,30414
50346,Melanerpes uropygialis,Aves,Piciformes,2011,12,31,-114.47162,32.878998,1,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
50513,Agelaius tricolor,Aves,Passeriformes,2018,4,26,-119.39907,34.931927,400,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
50567,Empidonax traillii,Aves,Passeriformes,1995,6,7,-116.45924,33.215355,1,HUMAN_OBSERVATION,30,PINES,2002,61691.24,263,1000,27880
50576,Empidonax traillii,Aves,Passeriformes,2006,5,29,-117.8687,34.4571,6,HUMAN_OBSERVATION,497,BOBCAT,2020,115997.570061,1110,1000,19113
50828,Buteo swainsoni,Aves,Accipitriformes,2018,4,30,-116.56938,34.05072,1,HUMAN_OBSERVATION,36,PARADISE,2005,3081.726,271,1000,6825
50919,Melanerpes uropygialis,Aves,Piciformes,2012,3,11,-114.469,32.884605,2,HUMAN_OBSERVATION,122,SENATOR,2012,47.72357,359,1000,1408
51338,Gymnogyps californianus,Aves,Accipitriformes,2019,3,6,-119.39907,34.931927,9,HUMAN_OBSERVATION,486,SCHOOL,2014,223.7788,1094,1000,1739
51556,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,25,-121.28138,37.45279,1,HUMAN_OBSERVATION,499,DEL PUERTO,2020,390647.255599,1112,1000,25919
