usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
5220380	Chelone mydas Boulenger, 1889	species	SYNONYM	FUZZY	Chelone mydas	69	Animalia	Chordata	Testudines	Cheloniidae	Chelonia	Chelonia mydas	1	44	358	793	9413	2441864	2442225	TRUE	Reptilia	Chelonia mydas	2442225	Similarity: name=65; authorship=0; classification=-2; rank=6; status=0
2442153	Lepidochelys olivacea (Eschscholtz, 1829)	species	ACCEPTED	EXACT	Lepidochelys olivacea	99	Animalia	Chordata	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea	1	44	358	793	9413	2442152	2442153	FALSE	Reptilia	Lepidochelys olivacea	NA	NA
9789983	Dermochelys coriacea (Vandelli, 1761)	species	ACCEPTED	EXACT	Dermochelys coriacea	98	Animalia	Chordata	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	1	44	358	793	5464	2441865	9789983	FALSE	Reptilia	Dermochelys coriacea	NA	NA
2441866	Dermochelys coriacea (Linnaeus, 1766)	species	DOUBTFUL	EXACT	Dermochelys coriacea	96	Animalia	Chordata	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	1	44	358	793	5464	2441865	2441866	FALSE	Reptilia	Dermochelys coriacea	NA	Similarity: name=110; authorship=0; classification=-2; rank=6; status=-5
11302113	Dermocheles coriacea	species	SYNONYM	FUZZY	Dermocheles coriacea	79	Animalia	Chordata	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	1	44	358	793	5464	2441865	9789983	TRUE	Reptilia	Dermochelys coriacea	9789983	Similarity: name=75; authorship=0; classification=-2; rank=6; status=0
2441873	Dermatochelys coriacea Günther, 1864	species	SYNONYM	FUZZY	Dermatochelys coriacea	69	Animalia	Chordata	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	1	44	358	793	5464	2441865	9789983	TRUE	Reptilia	Dermochelys coriacea	9789983	Similarity: name=65; authorship=0; classification=-2; rank=6; status=0
2441814	Gopherus agassizii (Cooper, 1861)	species	ACCEPTED	EXACT	Gopherus agassizii	99	Animalia	Chordata	Testudines	Testudinidae	Gopherus	Gopherus agassizii	1	44	358	793	9618	2441807	2441814	FALSE	Reptilia	Gopherus agassizii	NA	NA
2447231	Coleonyx switaki (Murphy, 1974)	species	ACCEPTED	EXACT	Coleonyx switaki	99	Animalia	Chordata	Squamata	Eublepharidae	Coleonyx	Coleonyx switaki	1	44	358	715	4287502	2447230	2447231	FALSE	Reptilia	Coleonyx switaki	NA	NA
5227128	Gambelia sila (Stejneger, 1890)	species	ACCEPTED	EXACT	Gambelia sila	99	Animalia	Chordata	Squamata	Crotaphytidae	Gambelia	Gambelia sila	1	44	358	715	5663	2470635	5227128	FALSE	Reptilia	Gambelia sila	NA	NA
2451133	Uma inornata Cope, 1895	species	ACCEPTED	EXACT	Uma inornata	99	Animalia	Chordata	Squamata	Phrynosomatidae	Uma	Uma inornata	1	44	358	715	5016	2451132	2451133	FALSE	Reptilia	Uma inornata	NA	NA
1666226	Usia inornata Engel, 1932	species	ACCEPTED	FUZZY	Usia inornata	0	Animalia	Arthropoda	Diptera	Bombyliidae	Usia	Usia inornata	1	54	216	811	7285	1666205	1666226	FALSE	Insecta	Uma inornata	NA	Similarity: name=-10; authorship=0; classification=-2; rank=6; status=1
2451740	Xantusia riversiana Cope, 1883	species	ACCEPTED	EXACT	Xantusia riversiana	97	Animalia	Chordata	Squamata	Xantusiidae	Xantusia	Xantusia riversiana	1	44	358	715	5025	2451720	2451740	FALSE	Reptilia	Xantusia riversiana	NA	NA
11320883	Xantusia riversiana Cope	species	SYNONYM	EXACT	Xantusia riversiana	97	Animalia	Chordata	Squamata	Xantusiidae	Xantusia	Xantusia riversiana	1	44	358	715	5025	2451720	2451740	TRUE	Reptilia	Xantusia riversiana	2451740	Similarity: name=110; authorship=0; classification=-2; rank=6; status=0
7434392	Charina umbratica Klauber, 1943	species	ACCEPTED	EXACT	Charina umbratica	99	Animalia	Chordata	Squamata	Boidae	Charina	Charina umbratica	1	44	358	715	2464897	2465150	7434392	FALSE	Reptilia	Charina umbratica	NA	NA
6161705	Masticophis lateralis euryxanthus (Riemer, 1954)	subspecies	ACCEPTED	EXACT	Masticophis lateralis euryxanthus	98	Animalia	Chordata	Squamata	Colubridae	Masticophis	Masticophis lateralis	1	44	358	715	6172	2452132	7688390	FALSE	Reptilia	Masticophis lateralis euryxanthus	NA	NA
2457491	Thamnophis gigas Fitch, 1940	species	ACCEPTED	EXACT	Thamnophis gigas	99	Animalia	Chordata	Squamata	Colubridae	Thamnophis	Thamnophis gigas	1	44	358	715	6172	2457825	2457491	FALSE	Reptilia	Thamnophis gigas	NA	NA
6161469	Thamnophis sirtalis tetrataenia (Cope In Yarrow, 1875)	subspecies	ACCEPTED	EXACT	Thamnophis sirtalis tetrataenia	98	Animalia	Chordata	Squamata	Colubridae	Thamnophis	Thamnophis sirtalis	1	44	358	715	6172	2457825	2457522	FALSE	Reptilia	Thamnophis sirtalis tetrataenia	NA	NA
5232458	Branta hutchinsii leucopareia (Brandt, 1836)	subspecies	ACCEPTED	EXACT	Branta hutchinsii leucopareia	98	Animalia	Chordata	Anseriformes	Anatidae	Branta	Branta hutchinsii	1	44	212	1108	2986	2498190	5232452	FALSE	Aves	Branta hutchinsii leucopareia	NA	NA
2481385	Phoebastria albatrus (Pallas, 1769)	species	ACCEPTED	EXACT	Phoebastria albatrus	99	Animalia	Chordata	Procellariiformes	Diomedeidae	Phoebastria	Phoebastria albatrus	1	44	212	7192755	5238	2481378	2481385	FALSE	Aves	Phoebastria albatrus	NA	NA
