obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
176251,Agelaius tricolor,Aves,Passeriformes,2020,3,11,-120.62203,37.167942,15,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
176255,Empidonax traillii,Aves,Passeriformes,2012,5,25,-116.19454,35.800976,2,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,5000,11370
176281,Riparia riparia,Aves,Passeriformes,2011,4,1,-116.65592,33.98877,2,HUMAN_OBSERVATION,VIEW,2012,376.1476,400,5000,9889
176311,Empidonax traillii,Aves,Passeriformes,2014,5,28,-116.19454,35.800976,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291,5000,11370
176534,Agelaius tricolor,Aves,Passeriformes,2017,4,8,-119.81054,35.155758,NA,HUMAN_OBSERVATION,WASH,2010,947.4305,1087,5000,15530
176542,Agelaius tricolor,Aves,Passeriformes,2018,4,28,-119.55631,34.90029,NA,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
176547,Melanerpes uropygialis,Aves,Piciformes,2018,4,10,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
176553,Agelaius tricolor,Aves,Passeriformes,2020,1,10,-120.62203,37.167942,5,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
176554,Agelaius tricolor,Aves,Passeriformes,2016,5,4,-121.06447,37.02791,2,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,5000,4436
176554,Agelaius tricolor,Aves,Passeriformes,2016,5,4,-121.06447,37.02791,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929,5000,11639
176554,Agelaius tricolor,Aves,Passeriformes,2016,5,4,-121.06447,37.02791,2,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5000,5692
176554,Agelaius tricolor,Aves,Passeriformes,2016,5,4,-121.06447,37.02791,2,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,5000,4760
176624,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,5,3,-116.60185,33.07864,1,HUMAN_OBSERVATION,PINES,2002,61691.24,263,5000,45164
176657,Agelaius tricolor,Aves,Passeriformes,2019,11,17,-120.62203,37.167942,3,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
176669,Gymnogyps californianus,Aves,Accipitriformes,2018,8,16,-119.36593,34.898216,4,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
176744,Melanerpes uropygialis,Aves,Piciformes,2018,3,7,-114.512985,32.725163,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
176771,Agelaius tricolor,Aves,Passeriformes,2016,4,22,-121.06447,37.02791,5,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,5000,4436
176771,Agelaius tricolor,Aves,Passeriformes,2016,4,22,-121.06447,37.02791,5,HUMAN_OBSERVATION,BASALT,2004,410.184,929,5000,11639
176771,Agelaius tricolor,Aves,Passeriformes,2016,4,22,-121.06447,37.02791,5,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5000,5692
176771,Agelaius tricolor,Aves,Passeriformes,2016,4,22,-121.06447,37.02791,5,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,5000,4760
176918,Gymnogyps californianus,Aves,Accipitriformes,2018,1,3,-119.37666,34.90416,5,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
176941,Agelaius tricolor,Aves,Passeriformes,2015,3,25,-120.89854,36.630684,2,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
176957,Buteo swainsoni,Aves,Accipitriformes,2013,4,23,-114.52835,34.783684,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,5000,16707
